Roll;Gender;Age;Personality;Appearance;Motivation;Quirk
2;Male;Infant;Curious;Tiny and delicate;Crying for attention;Loves chewing on objects
3;Female;Child;Innocent;Freckles and messy hair;Wants a bedtime story;Talks to an imaginary friend
4;Male;Child;Playful;Missing a tooth;Exploring everything;Climbs furniture instinctively
5;Female;Adolescent;Shy;Long unkempt hair;Looking for a friend;Constantly fidgets with hands
6;Male;Adolescent;Rebellious;Scar from a childhood accident;Wants to prove himself;Collects weird trinkets
7;Female;Young Adult;Kind;Bright eyes, soft features;Wants to help others;Laughs at inappropriate times
8;Male;Young Adult;Hotheaded;Strong jawline, muscular;Seeking glory;Overuses hand gestures
9;Female;Young Adult;Cunning;Piercing gaze, sharp features;Wants power;Speaks in a whisper
10;Male;Adult;Wise;Neatly groomed beard;Seeks knowledge;Writes everything in a small journal
11;Female;Adult;Hardworking;Calloused hands, practical look;Wants financial stability;Hums while thinking
12;Male;Adult;Jolly;Round belly, always grinning;Enjoys life;Makes puns constantly
13;Female;Adult;Stoic;Sharp cheekbones, tired eyes;Wants to protect someone;Always wears gloves
14;Male;Middle-Aged;Cynical;Patchy beard, tired look;Searching for lost love;Rolls eyes often
15;Female;Middle-Aged;Sarcastic;Greying hair, sharp tongue;Wants revenge;Always drinks tea
16;Male;Middle-Aged;Paranoid;Deep scars, darting eyes;Fears being betrayed;Speaks in riddles
17;Female;Middle-Aged;Charismatic;Wears extravagant jewelry;Wants to be admired;Constantly adjusting clothes
18;Male;Older Adult;Gruff;Bushy eyebrows, crooked nose;Protecting family;Chews on a pipe (even if unlit)
19;Female;Older Adult;Nurturing;Soft, wrinkled skin, kind eyes;Wants peace and quiet;Calls everyone "dear" or "child"
20;Male;Elderly;Forgetful;White beard, shaky hands;Trying to remember something;Loses track of conversations
21;Female;Elderly;Wise;Silver hair, soft voice;Wants to pass on knowledge;Always knitting something
22;Male;Ancient;Stoic;Thin, gaunt, piercing stare;Seeks meaning in life;Never speaks unless necessary
23;Female;Ancient;Cryptic;Veiled, mysterious aura;Knows many secrets;Answers questions with questions
24;Male;Undead;Detached;Hollow eyes, pale complexion;Longing for lost humanity;Doesn't blink
25;Female;Undead;Melancholic;Skeletal, torn dress;Searching for her past;Speaks in a distant, echoing voice
26;Male;Young Adult;Brave;Scarred but confident look;Protecting someone;Cracks knuckles constantly
27;Female;Young Adult;Flirtatious;Smirks a lot, stylish hair;Wants admiration;Winks too often
28;Male;Adult;Arrogant;Wears expensive clothes;Desires status;Uses overly elaborate words
29;Female;Adult;Determined;Hair tied back, focused eyes;Has a personal mission;Practices combat moves randomly
30;Male;Middle-Aged;Loyal;Scarred hands, tired but steady;Defends his allies;Stands uncomfortably close
31;Female;Middle-Aged;Manipulative;Charming smile, dresses well;Wants control;Plays with a coin when talking
32;Male;Older Adult;Gruff;Deep voice, thick grey beard;Wants one last adventure;Spits when speaking
33;Female;Older Adult;Generous;Wears warm clothes, motherly;Helps strangers;Always carries snacks
34;Male;Elderly;Grumpy;Crooked back, complains a lot;Dislikes the younger generation;Always mumbling to himself
35;Female;Elderly;Cheerful;Wrinkled but lively expression;Wants to see the world;Dances unexpectedly
36;Male;Ancient;Mysterious;Hooded cloak, never shows face;Holds a forgotten secret;Never eats in public
37;Female;Ancient;Enigmatic;Never ages, unsettling beauty;Knows forbidden lore;Has an unplaceable accent
38;Male;???;Possessed;Eyes glow faintly, whispers;Seeking release from a curse;Speaks in two voices at once
39;Female;???;Phantom-like;Half-transparent, eerie smile;Searching for someone;Leaves no footprints
40;???;???;Completely Unpredictable;Constantly shifting features;Unknown;Changes personality randomly
